воздушные ноты;airy notes
алюминий;aluminum
водные ноты;aquatic notes
морская вода;sea water
морские ноты;aquatic notes
зола;ash
асфальт;asphalt
алмаз;diamond
кровь;blood
кирпич;brick
скотч;scotch
сгоревшая спичка;burnt match
канва;canvas
кашемир;cashmeran
мел;chalk
сигарет;cigarette
глина;clay
уголь;coal
булыжник;cobblestone
кокаин;cocaine
бетон;concrete
медь;copper
кумарин;coumarin
пыль;dust
земля;earth
яйцо;egg
огонь;ember
рыба;fish
кремень;flint
бензин;gasoline
стекло;glass
золото;gold
графит;graphite
порох;gunpowder
лед;ice
йод;iodine
джинсовая ткань;jeans
джинсы;jeans
лава;lava
латекс;latex
лен;linen
лён;linen
помада;lipstick
металлический;metallic
деньги;money
минерал;mineral
моторное масло;motor oil
грязь;mud
горный воздух;mountain air
книги;books
озон;ozone
пергамент;parchment
жемчуг;pearls
галька;pebbles
нефть;petroleum
пластик;plastic
яд;poison
фарфор;porcelain
прополис;propolis
дождевые ноты;rainy notes
дождь;rainy notes
река;river notes
соль;salt
морская соль;sea salt
сатин;satin
шелк;silk
серебро;silver
снег;snow
дым;smoke
сланец;slate
камень;stone
солома;straw
сера;sulfur
тальк;talc
пот;sweat
теннисный мяч;tennis ball
терракота;terracotta
зубная паста;toothpaste
бархат;velvet
шерсть;wool
туман;fog
